KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
病	bệnh	ill	sickness; hospital; third class;	"If you hang around a third class hospital, you'll get ill with the sickness everyone else has."	44.00	4.00	deck#3	due@2025-05-12 12:55:03
瘍	dương	carbuncle	caveman; piggybank	Caveman has to open up his piggy bank to receive treatment for his monstrous carbuncle.	44.00	5.00	deck#2	due@2025-05-06 15:01:55
痩	sấu	lose weight	caveman; money; crotch;	"Caveman want to lose weight… but not know how. He sees a lean monkey playing with its crotch. Ah! So that's how I lose weight, and he imitates the monkey."	44.00	5.00	deck#2	due@2025-05-06 12:56:19
嫉	tật	envy	woman; rapidly;	If you go through women rapidly you will be the object of envy.	44.00	5.00	deck#2	due@2025-05-06 15:08:19
痕	ngân	scar	caveman; silver;	Caveman has a scar because he was shot with a silver bullet when he was mistaken for a werewolf.	44.00	5.00	deck#2	due@2025-05-06 15:08:26
疲	bí	tired	caveman; blanket;	I picture an exhausted sick caveman snuggling up in a comfy pelt blanket.	44.00	3.00	deck#2	due@2025-05-06 15:08:33
痛	thống	pain	caveman; pogostick;	The CAVEMAN felt such a pain after his POGO STICK got stuck in his butt.	44.00	3.00	deck#2	due@2025-05-06 15:02:36
医	y	doctor	box; dart;	The doctor puts the cardboard box on his head and throws a dart at a chart to determine his patients' illnesses.	44.00	4.00	deck#2	due@2025-05-06 14:56:07
匹	thất	equal	box; human legs	4 - 1 = this kanji.	44.00	2.00	deck#3	due@2025-05-12 14:56:19
区	khu	ward	box; sheaf	That's the homeless ward of the city. Wolverine lives in a cardboard box there.	44.00	2.00	deck#2	due@2025-05-06 14:56:23
欧	Âu	Europe	europe; ward; box; sheaf; lack; yawn	Europe? Yawn… I've been to every ward(country/area)	44.00	2.00	deck#2	due@2025-05-06 15:02:41
迎	nghênh	welcome	stamps; road;	Stamp-collectors sit and wait on the road to welcome new mail arrivals.	44.00	3.00	deck#2	due@2025-05-06 15:08:38
登	đăng	ascend	teepee; table;	"When an American Indian warrior dies, his body is placed on a TABLE inside a TEEPEE, and a ritualistic ceremony is held to encourage his spirit to ASCEND to that big buffalo hunting ground in the sky."	44.00	3.00	deck#2	due@2025-05-06 15:03:00
発	phát	discharge	teepee; two; human legs	The soldier was dishonorably discharged when his commanding officer saw two pairs of legs sticking out of a teepee designed for just one soldier.	44.00	4.00	deck#2	due@2025-05-06 15:06:00
療	liệu	heal	sickness; pup tent; sun; little;	Sick caveman has to sleep in his pup tent. Not the cavebecause to humid and cold but a nice small pup tent in the sun will heal him from his cold.	44.00	2.00	deck#2	due@2025-05-06 15:06:11
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
