KANJI	VI	EN	ELEMENT	STORY	LESSON	JLPT
毒	độc	poison	grow up; mother;	"To those who grow up lactose intolerant, mother's milk is a poison."	40.00	2.00	deck#3	due@2025-08-26 23:45:30
麦	mạch	barley	grow up; walking legs;	"If you eat lots of barley, you'll grow up to have strong walking legs."	40.00	2.00	deck#4	due@2025-09-18 23:46:52
青	thanh	blue	grow up; moon;	"Blue = Smurfs, whose bodies never grow up."	40.00	4.00	deck#3	due@2025-08-27 23:56:52
精	tinh	refined	rice; blue;	Bột của thầy White màu xanh	40.00	3.00	deck#4	due@2025-09-18 23:45:48
情	tình	feelings	state of mind; blue;	Feeling blue is a state of mind where you're dominated by your feelings.	40.00	3.00	deck#4	due@2025-09-18 23:43:41
晴	tình	clear up	sun; blue;	"Sun and blue sky! Yep, the weather's cleared up!"	40.00	3.00	deck#4	due@2025-09-18 23:48:15
清	thanh	pure	water; blue;	Pure sea water is always a radiant blue.	40.00	2.00	deck#4	due@2025-09-18 23:45:22
静	tĩnh	quiet	blue; contend;	"When someone you know who is normally talkative goes quiet, it's usually a sign that they are contending with the blues."	40.00	3.00	deck#4	due@2025-09-18 23:46:31
責	trách	blame	grow up; shellfish;	"As one grows up, one typically starts to blame all of their problems on money."	40.00	3.00	deck#4	due@2025-09-18 23:49:09
績	tích	exploits	thread; blame;	A lot of modern software is full of exploits which can be abused by hackers. I blame multi-threading.	40.00	2.00	deck#4	due@2025-09-18 23:48:59
積	tích	volume	wheat; blame;	The volume of the wheat crop is way down this year! Blame the weather!	40.00	3.00	deck#4	due@2025-09-18 23:46:08
表	biểu	surface	grow up; scarf	"As girls grow up, something slowly surfaces from under their scarf."	40.00	3.00	deck#4	due@2025-09-18 23:53:13
喫	khiết	consume	mouth; pledge;	I make my mouth pledge to consume less.	40.00	2.00	deck#2	due@2025-08-22 00:02:40
害	hại	harm	house; grow up; mouth	"With kids growng up in your house, you have to keep them from harm of putting anything in their mouth, paint chips, bleach, knvies, etc."	40.00	3.00	deck#4	due@2025-09-18 23:52:49
割	cát	proportion	harm; saber;	"Hey, don't take this out of proportion! I did you just a little harm, no need to come over here with a saber…"	40.00	3.00	deck#3	due@2025-08-28 00:01:07
生	sinh	life	drop; grow up;		40.00	5.00	deck#4	due@2025-09-18 23:48:34
星	tinh	star	sun; life;	The sun is the nearest star to the only planet with life - Earth.	40.00	2.00	deck#4	due@2025-09-18 23:46:16
醒	tỉnh	awakening	whiskey bottle; star;	You'll need an awakening after the whiskey bottle makes you see stars.	40.00	5.00	deck#4	due@2025-09-18 23:48:28
姓	tính	surname	woman; life;	"When women marry, they adopt the surname of their husband, signifiying the start of a new life together."	40.00	2.00	deck#4	due@2025-09-18 23:45:37
性	tính	sex	state of mind; life;	Sex isthe only state of mind for many men through their whole life.	40.00	3.00	deck#4	due@2025-09-18 23:45:55
産	sản	products	stand up; cliff; life;	"If you were to stand up all the products you have accumulated over the course of your entire life on top of one another, the result would probably be as tall as a cliff."	40.00	3.00	deck#4	due@2025-09-18 23:52:34
蜂	phong	bee	insect; walking legs; bushes	"I got stung by an insect walking through the bushes, I think it was a bee."	40.00	5.00	deck#3	due@2025-08-27 23:58:45
拝	bái	worship	finger; one; bushes	"Because I worship her, I only finger ONE BUSH, her's, and no others!"	40.00	2.00	deck#4	due@2025-09-18 23:45:11
寿	thọ	longevity	bushes; glue	"To ensure longevity of her virginity, Alice applied a thick layer of glue on her bush."	40.00	5.00	deck#4	due@2025-09-18 23:47:48
籍	tịch	enroll	bamboo; christmas tree; once upon a time;	"Japanese father enrolls his student in a well-rounded school: they teach eastern traditions (the way of the bamboo), western traditions (like Christmastrees), and also teach literature (once upon a time)."	40.00	2.00	deck#4	due@2025-09-18 23:48:03
春	xuân	springtime	bonsai; sun;	In the springtime bonsai get plenty of sun.	40.00	4.00	deck#4	due@2025-09-18 23:47:04
実	thực	reality	house; bonsai;	"Bonsais are grown in a house, away from the harsh reality of the real world where they wouldn't survive."	40.00	3.00	deck#3	due@2025-08-27 23:58:27
棒	bổng	rod	tree; dedicate;	"Ha! If you know anything about Buddhist monks, during meditation, they're slapped with wooden rods to stay dedicated to their task."	40.00	2.00	deck#4	due@2025-09-18 23:49:36
僅	cận	trifle	person; cabbage;	To MR.T swallowing a whole CABBAGE is no more than a TRIFLE.	40.00	5.00	deck#3	due@2025-08-27 23:59:16
勤	cần	diligence	cabbage; muscle;	Growing cabbages takes muscle and diligence.	40.00	3.00	deck#4	due@2025-09-18 23:49:49
漢	hán	Sino-	sino; water; scarecrow;	"In the water between Japan and China, the Sino- side has put scarecrows in the water to try and keep the Japanese away."	40.00	4.00	deck#4	due@2025-09-18 23:46:45
難	nạn	difficult	scarecrow; turkey;	It is difficult for a scarecrow to scare a turkey or else they would've been called scareturkeys.	40.00	3.00	deck#4	due@2025-09-18 23:49:22
唾	thóa	saliva	mouth; droop;	"When some people are sleeping, their mouths droop open, and saliva drips out."	40.00	5.00	deck#4	due@2025-09-18 23:53:03
乗	thừa	ride	wheat; cereal; silage		40.00	3.00	deck#4	due@2025-09-18 23:48:44
#--decks immediate,daily,weekly,monthly,quarterly,yearly
#--intervals 0,1440,10080,43200,129600,518400
#--showcolumns KANJI
#--showcolumns KANJI,VI,EN,ELEMENT,STORY
